ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
297,برچسب فارسی در CRM ثبت نشده,Goal Version,brd_goalversion,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
298,برچسب فارسی در CRM ثبت نشده,Total Complete Service Activities Duration (State),brd_totalcompleteserviceactivitiesduration_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
299,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_sprinttimename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
300,برچسب فارسی در CRM ثبت نشده,Voice Id,rhs_voiceid,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
301,برچسب فارسی در CRM ثبت نشده,ProductOwner Date To Now,brd_productownerdatetonow,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
302,برچسب فارسی در CRM ثبت نشده,Resolve By SLA Status,resolvebyslastatus,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
303,برچسب فارسی در CRM ثبت نشده,Last On Hold Time,lastonholdtime,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
304,برچسب فارسی در CRM ثبت نشده,SLA Old,brd_slaold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
305,برچسب فارسی در CRM ثبت نشده,Child Cases,numberofchildincidents,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
306,برچسب فارسی در CRM ثبت نشده,Parent Case,parentcaseid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
307,نام مشتری,ثبت نشده,customeridname,String,رشته‌ای,بله,ترجمه کنترل‌شده
308,برچسب فارسی در CRM ثبت نشده,ResolveDuration,brd_resolveduration,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
